Kod;y2020;y2021;y2022;woj
201000;55;33;35;DOLNOŚLĄSKIE
202000;34;39;40;DOLNOŚLĄSKIE
203000;35;26;51;DOLNOŚLĄSKIE
204000;16;23;19;DOLNOŚLĄSKIE
205000;14;31;24;DOLNOŚLĄSKIE
206000;26;22;16;DOLNOŚLĄSKIE
207000;10;12;5;DOLNOŚLĄSKIE
208000;96;104;100;DOLNOŚLĄSKIE
209000;33;49;37;DOLNOŚLĄSKIE
210000;18;20;24;DOLNOŚLĄSKIE
211000;48;39;53;DOLNOŚLĄSKIE
212000;19;15;14;DOLNOŚLĄSKIE
213000;24;24;21;DOLNOŚLĄSKIE
214000;39;37;25;DOLNOŚLĄSKIE
215000;44;33;39;DOLNOŚLĄSKIE
216000;32;24;20;DOLNOŚLĄSKIE
217000;29;32;28;DOLNOŚLĄSKIE
218000;45;48;37;DOLNOŚLĄSKIE
219000;113;113;101;DOLNOŚLĄSKIE
220000;44;30;22;DOLNOŚLĄSKIE
221000;35;35;28;DOLNOŚLĄSKIE
222000;12;16;15;DOLNOŚLĄSKIE
223000;146;221;224;DOLNOŚLĄSKIE
224000;56;41;42;DOLNOŚLĄSKIE
225000;47;45;41;DOLNOŚLĄSKIE
226000;13;15;8;DOLNOŚLĄSKIE
261000;19;14;18;DOLNOŚLĄSKIE
262000;35;28;38;DOLNOŚLĄSKIE
264000;401;503;692;DOLNOŚLĄSKIE
265000;40;58;52;DOLNOŚLĄSKIE
401000;16;22;17;KUJAWSKO-POMORSKIE
402000;52;33;29;KUJAWSKO-POMORSKIE
403000;57;59;53;KUJAWSKO-POMORSKIE
404000;5;7;6;KUJAWSKO-POMORSKIE
405000;28;36;32;KUJAWSKO-POMORSKIE
406000;13;17;12;KUJAWSKO-POMORSKIE
407000;69;85;114;KUJAWSKO-POMORSKIE
408000;36;30;29;KUJAWSKO-POMORSKIE
409000;34;31;28;KUJAWSKO-POMORSKIE
410000;48;36;47;KUJAWSKO-POMORSKIE
411000;9;13;8;KUJAWSKO-POMORSKIE
412000;13;10;12;KUJAWSKO-POMORSKIE
413000;10;7;13;KUJAWSKO-POMORSKIE
414000;38;43;34;KUJAWSKO-POMORSKIE
415000;40;34;28;KUJAWSKO-POMORSKIE
416000;14;18;16;KUJAWSKO-POMORSKIE
417000;16;14;20;KUJAWSKO-POMORSKIE
418000;45;47;42;KUJAWSKO-POMORSKIE
419000;37;37;28;KUJAWSKO-POMORSKIE
461000;139;123;123;KUJAWSKO-POMORSKIE
462000;19;17;15;KUJAWSKO-POMORSKIE
463000;56;42;43;KUJAWSKO-POMORSKIE
